Type,Station name,Jan.,Feb.,March,Apr.,May,Jun.,Jul.,Aug.,Sept.,Oct.,Nov.,Dec.,Year
Sunshine Duration,Leipzig-Holzhausen ,58,76,113,174,218,205,222,209,150,116,58,46,1645
Temperature ,Leipzig-Holzhausen ,1,1.5,5.2,9.5,14.2,16.9,19.1,18.8,14.4,9.9,4.9,1.5,9.7
Ice days,Lennestadt-Theten ,5.7,3.6,0.4,0,0,0,0,0,0,0,1,4.2,14.9
Frost days,Lennestadt-Theten ,17.4,17.1,12.6,7.2,0.8,0,0,0,0.1,3.4,8.2,15.9,82.6
Hot days,Lennestadt-Theten ,0,0,0,0,0.2,1.3,3,2.1,0.3,0,0,0,6.9
Percipitation,Lennestadt-Theten ,114,87,95,66,80,80,90,92,87,89,97,112,1089
Summer days,Lennestadt-Theten ,0,0,0,0.7,3.8,6.9,10.9,9.4,2.8,0.1,0,0,34.6
Sunshine Duration,Lennestadt-Theten ,45,74,105,160,189,188,202,189,133,97,44,34,1460
Temperature ,Lennestadt-Theten ,1,1.2,4.3,7.8,12.6,15.4,17.2,16.5,12.9,9.1,4.8,1.7,8.7
Ice days,Lensahn ,6,4.3,0.7,0,0,0,0,0,0,0,0.7,4.1,15.7
Frost days,Lensahn ,14.8,14.5,11.2,3.8,0.2,0,0,0,0,1.2,6.2,13.3,65.2
Hot days,Lensahn ,0,0,0,0,0,0.2,1,0.7,0,0,0,0,2
Percipitation,Lensahn ,63,46,50,42,59,64,70,73,66,61,58,64,714
Summer days,Lensahn ,0,0,0,0.2,0.9,2.9,7.5,7.1,1,0,0,0,19.6
Sunshine Duration,Lensahn ,43,64,115,183,241,218,236,214,150,109,52,34,1659
Temperature ,Lensahn ,1.4,1.6,3.9,7.5,12.1,15.2,17.6,17.4,13.9,9.7,5.2,2.5,9
Percipitation,Lenzkirch-Ruhbühl ,128,112,110,88,109,104,109,86,84,114,112,151,1306
Sunshine Duration,Lenzkirch-Ruhbühl ,76,88,128,157,181,200,228,211,162,120,76,56,1683
Temperature ,Lenzkirch-Ruhbühl ,-1.5,-0.9,2.5,5.6,10.7,13.9,16.1,15.6,11.5,7.4,2.4,-0.2,6.9
Ice days,Lindenberg ,9,5.8,0.7,0,0,0,0,0,0,0,1.4,7.6,24.5
Frost days,Lindenberg ,19.6,18.2,12.6,3.4,0.1,0,0,0,0,2.2,9.9,18.9,85
Hot days,Lindenberg ,0,0,0,0,0.3,1.5,4.3,2.5,0.1,0,0,0,8.6
Percipitation,Lindenberg ,42,37,44,38,56,58,65,63,44,35,44,50,576
Summer days,Lindenberg ,0,0,0,0.8,4.4,7.6,13.5,13.1,3.1,0.1,0,0,42.7
Sunshine Duration,Lindenberg ,55,74,121,184,231,220,240,219,156,117,56,43,1716
Temperature ,Lindenberg ,-0.1,0.8,4.2,9,14.1,16.6,19,18.5,14.2,9.4,4.2,0.7,9.2
Ice days,Lindenfels-Winterkasten ,7.9,5.7,0.6,0,0,0,0,0,0,0,1.8,6.2,22.2
Frost days,Lindenfels-Winterkasten ,19.5,17.8,10.8,4.7,0.1,0,0,0,0,2,9.7,18,82.6
Hot days,Lindenfels-Winterkasten ,0,0,0,0,0.1,0.4,1.1,1.4,0,0,0,0,3
Percipitation,Lindenfels-Winterkasten ,108,94,104,81,98,87,100,80,95,105,105,118,1174
Summer days,Lindenfels-Winterkasten ,0,0,0,0.1,1.8,5.4,9.2,9.6,1.7,0,0,0,27.8
Sunshine Duration,Lindenfels-Winterkasten ,40,78,123,178,212,212,234,224,164,106,47,34,1652
Temperature ,Lindenfels-Winterkasten ,0.2,0.8,4.6,7.9,12.4,15.2,17.3,17.3,13.3,9.1,4,1.3,8.6
Ice days,Lingen ,4.3,3,0.3,0,0,0,0,0,0,0,0.5,3.7,11.8
Frost days,Lingen ,13.2,13.1,7.8,2.9,0.1,0,0,0,0,1.2,5,12.8,56
Hot days,Lingen ,0,0,0,0,0.2,0.9,3,2.2,0.1,0,0,0,6.4
Percipitation,Lingen ,75,53,67,45,58,71,78,68,74,69,69,73,800
Summer days,Lingen ,0,0,0,0.6,3.3,5.6,10.1,8.4,2.3,0,0,0,30.3
Sunshine Duration,Lingen ,47,71,104,161,201,186,201,179,132,103,53,39,1477
Temperature ,Lingen ,2.4,2.7,5.7,9.3,13.6,16.1,18.3,17.8,14.3,10.3,6.1,3,10
Percipitation,Linthe ,40,32,39,30,52,51,55,59,42,32,40,45,518
Ice days,"Lippspringe, Bad ",5.5,4.6,0.6,0,0,0,0,0,0,0,0.8,3.7,15.2
Frost days,"Lippspringe, Bad ",15.4,14.8,10,4.3,0.4,0,0,0,0,1.3,6.1,14.3,66.4
Hot days,"Lippspringe, Bad ",0,0,0,0,0.1,0.8,2.8,2.1,0.1,0,0,0,5.8
Percipitation,"Lippspringe, Bad ",86,61,79,59,69,81,89,89,87,73,87,92,951
Summer days,"Lippspringe, Bad ",0,0,0,0.5,2.4,5.9,10.5,8.8,2.3,0.1,0,0,30.5
Sunshine Duration,"Lippspringe, Bad ",54,74,104,158,188,180,192,188,130,101,50,43,1461
Temperature ,"Lippspringe, Bad ",1.7,2,5.1,8.7,13,15.5,17.9,17.6,14.1,10.1,5.7,2.5,9.5
Ice days,Lippstadt-Bökenförde ,4.2,3.4,0.4,0,0,0,0,0,0,0,0.6,2.8,11.4
Frost days,Lippstadt-Bökenförde ,14.9,13.9,8.7,4.4,0.2,0,0,0,0,1.9,5.8,13.4,63.2
Hot days,Lippstadt-Bökenförde ,0,0,0,0,0.1,1,3.1,2.7,0.2,0,0,0,7.1
Percipitation,Lippstadt-Bökenförde ,65,52,70,52,67,78,85,76,72,66,72,70,826
Summer days,Lippstadt-Bökenförde ,0,0,0,0.6,2.9,6.4,12,10.8,3.1,0.5,0,0,36.2
Sunshine Duration,Lippstadt-Bökenförde ,58,80,115,166,200,193,207,196,140,113,61,45,1574
Temperature ,Lippstadt-Bökenförde ,2.4,2.6,5.8,9.1,13.4,16,18.3,18,14.4,10.6,6.3,3.2,10
Ice days,List auf Sylt ,5.4,4.1,0.6,0,0,0,0,0,0,0,0.3,2.9,13.3
Frost days,List auf Sylt ,13.1,13.2,8.1,1.2,0,0,0,0,0,0.1,2.7,10,48.3
Hot days,List auf Sylt ,0,0,0,0,0,0,0.3,0.1,0,0,0,0,0.5
Percipitation,List auf Sylt ,54,41,45,32,40,54,57,85,81,89,76,65,717
Summer days,List auf Sylt ,0,0,0,0,0.1,1.4,3.4,2.7,0.2,0,0,0,7.8
Sunshine Duration,List auf Sylt ,51,76,126,190,247,222,234,216,150,103,57,43,1715
Temperature ,List auf Sylt ,2,1.7,3.6,7.2,11.4,14.2,16.8,17,14.3,10.6,6.3,3.3,9
Ice days,Lüchow ,6.8,4.7,0.5,0,0,0,0,0,0,0,1.1,7,20
Frost days,Lüchow ,16.1,15.2,11,5.2,0.4,0,0,0,0,3.2,9.3,16.5,76.9
Hot days,Lüchow ,0,0,0,0,0.1,1.1,3.7,2.7,0.1,0,0,0,7.7
Percipitation,Lüchow ,45,34,43,33,50,54,61,58,45,43,42,45,551
Summer days,Lüchow ,0,0,0,0.6,3.5,6.2,11.5,11,1.7,0.1,0,0,34.6
Sunshine Duration,Lüchow ,49,72,113,177,232,210,225,209,140,110,52,38,1625
Temperature ,Lüchow ,0.9,1.3,4.5,8.6,13.3,15.8,18.3,17.7,13.8,9.3,4.9,1.6,9.2
Ice days,Magdeburg ,6.9,4.8,0.5,0,0,0,0,0,0,0,1,6,19.2
Frost days,Magdeburg ,17.5,16.5,10.6,3.9,0.1,0,0,0,0,2.7,8.6,16.9,76.8
Hot days,Magdeburg ,0,0,0,0,0.3,1.5,4.6,3.3,0.1,0,0,0,9.8
Percipitation,Magdeburg ,36,29,39,32,53,59,53,57,45,35,40,43,520
Summer days,Magdeburg ,0,0,0,0.8,4.4,7.8,13.6,13.2,3.3,0.3,0,0,43.4
Sunshine Duration,Magdeburg ,59,79,118,177,226,221,228,212,154,116,60,49,1699
Temperature ,Magdeburg ,0.8,1.3,4.8,9.1,13.9,16.4,18.7,18.3,14.2,9.6,4.9,1.5,9.5
Ice days,Mainz-Lerchenberg (ZDF) ,5.7,2.3,0.1,0,0,0,0,0,0,0,0.7,3.5,12.2
Frost days,Mainz-Lerchenberg (ZDF) ,15.2,13.8,6.3,1.3,0,0,0,0,0,1.2,5.6,13,56.3
Hot days,Mainz-Lerchenberg (ZDF) ,0,0,0,0,0.6,2.5,6.1,4.7,0.4,0,0,0,14.3
Percipitation,Mainz-Lerchenberg (ZDF) ,44,43,47,43,57,59,68,48,52,55,49,55,620
Summer days,Mainz-Lerchenberg (ZDF) ,0,0,0.1,1.2,6,11.1,16.5,16.2,4.4,0.1,0,0,55.6
Sunshine Duration,Mainz-Lerchenberg (ZDF) ,45,76,119,174,203,209,226,213,152,98,48,36,1599
Temperature ,Mainz-Lerchenberg (ZDF) ,1.8,2.6,6.6,10.6,15.1,18,20.2,19.5,15.1,10.3,5.7,2.7,10.7
Ice days,Manderscheid-Sonnenhof ,7,4.9,0.7,0,0,0,0,0,0,0,1.5,5,19.2
Frost days,Manderscheid-Sonnenhof ,18.9,18.9,13,6.6,0.5,0,0,0,0,2.7,10.6,16.8,88
Hot days,Manderscheid-Sonnenhof ,0,0,0,0,0,0.4,2.2,1.6,0.1,0,0,0,4.3
Percipitation,Manderscheid-Sonnenhof ,101,71,82,60,72,68,67,65,77,83,78,106,931
Summer days,Manderscheid-Sonnenhof ,0,0,0,0.1,2,5.7,10.5,10,2.4,0,0,0,30.6
Sunshine Duration,Manderscheid-Sonnenhof ,38,74,121,167,184,196,216,194,147,96,47,30,1511
Temperature ,Manderscheid-Sonnenhof ,0.4,0.6,4.2,7.6,12,15,17.2,16.5,12.7,8.6,4,1.2,8.3
Ice days,Mannheim ,5.5,2.1,0.1,0,0,0,0,0,0,0,0.7,3,11.3
Frost days,Mannheim ,16.5,15.1,8.6,2.4,0,0,0,0,0,1.6,8,14.7,66.9
Hot days,Mannheim ,0,0,0,0,0.6,3.1,6.8,5.6,0.6,0,0,0,16.7
Percipitation,Mannheim ,41,43,51,49,73,67,76,58,54,56,54,54,675
Summer days,Mannheim ,0,0,0.1,1.4,6.9,12.1,17.4,17.5,5.7,0.2,0,0,61.3
Sunshine Duration,Mannheim ,55,84,125,182,212,220,236,223,165,109,59,45,1715
Temperature ,Mannheim ,1.8,2.8,6.7,10.7,15.2,18.2,20.3,19.9,15.6,10.7,5.7,2.8,10.9
Ice days,"Marienberg, Bad ",11.5,8.5,2.3,0.1,0,0,0,0,0,0,2.7,9.2,34.2
Frost days,"Marienberg, Bad ",22.5,19.8,14,6.1,0.4,0,0,0,0,1.7,10.6,20.6,95.7
Hot days,"Marienberg, Bad ",0,0,0,0,0,0,0.6,0.6,0,0,0,0,1.2
Percipitation,"Marienberg, Bad ",112,90,106,70,86,91,103,87,100,96,107,116,1163
Summer days,"Marienberg, Bad ",0,0,0,0,0.6,2.8,6.2,5.1,0.6,0,0,0,15.3
Sunshine Duration,"Marienberg, Bad ",48,79,109,167,194,195,214,197,141,100,47,36,1527
Temperature ,"Marienberg, Bad ",-0.8,-0.2,3.1,6.9,11.3,13.9,16.2,15.9,12.2,7.9,3.2,0.2,7.5
Ice days,Marnitz ,8.7,5.6,0.8,0,0,0,0,0,0,0,1.2,7.7,24.1
Frost days,Marnitz ,17.5,15.9,12.7,4.5,0.1,0,0,0,0,2,8.7,17.2,78.6
Hot days,Marnitz ,0,0,0,0,0.1,1,3,1.7,0,0,0,0,6
Percipitation,Marnitz ,58,45,53,40,55,64,69,58,52,50,52,58,654
Summer days,Marnitz ,0,0,0,0.4,2.6,5.7,11,10.2,2.1,0,0,0,32.1
Sunshine Duration,Marnitz ,48,68,113,179,232,211,226,207,150,111,54,39,1638
Temperature ,Marnitz ,0.4,1.1,4,8.2,12.9,15.5,17.8,17.6,13.5,9.2,4.5,0.9,8.8
Ice days,Meiningen ,12.3,8.4,1.7,0.1,0,0,0,0,0,0,2.8,10,35.3
Frost days,Meiningen ,22.3,21,15.7,6.5,0.6,0,0,0,0.1,3.8,12.1,21.9,104.1
Hot days,Meiningen ,0,0,0,0,0.1,0.3,1.6,1,0,0,0,0,3
Percipitation,Meiningen ,53,42,51,42,59,63,68,54,57,54,58,61,661
Summer days,Meiningen ,0,0,0,0.2,1.7,4.8,9.2,7.9,1.5,0,0,0,25.3
Sunshine Duration,Meiningen ,43,73,110,165,199,197,214,199,146,101,42,34,1523
Temperature ,Meiningen ,-1.2,-0.5,3.2,7.5,12.1,14.8,17,16.7,12.6,7.9,2.9,-0.3,7.7
Ice days,Memmingen ,10.3,7.6,1.4,0,0,0,0,0,0,0,2.6,8.6,30.5
Frost days,Memmingen ,23,20.7,14.9,6.5,0.4,0,0,0,0.1,3,13.4,21.5,103.5
Hot days,Memmingen ,0,0,0,0,0.1,0.6,2.5,1.8,0,0,0,0,4.9
Percipitation,Memmingen ,48,46,63,69,101,125,124,117,86,66,65,70,981
Summer days,Memmingen ,0,0,0,0.1,2.5,7.3,12.7,10.5,2.5,0.2,0,0,35.7
Sunshine Duration,Memmingen ,67,89,128,165,197,205,232,213,156,114,68,52,1686
Temperature ,Memmingen ,-1,-0.3,3.8,7.7,12.6,15.8,18,17.1,13,8.6,3,0.1,8.2
Ice days,Menz ,8.9,5.3,1,0,0,0,0,0,0,0,1.4,8.2,24.8
Frost days,Menz ,19.5,17.9,14.9,7.1,0.4,0,0,0,0,2.7,10.8,18.8,92.2
Hot days,Menz ,0,0,0,0,0.1,1,3.4,1.5,0,0,0,0,6
Percipitation,Menz ,49,39,49,33,59,67,55,57,49,45,44,50,594
Summer days,Menz ,0,0,0,0.6,3.2,6,11.9,10,2.3,0,0,0,33.9
Sunshine Duration,Menz ,48,69,114,177,223,209,225,208,149,111,50,37,1620
Temperature ,Menz ,-0.1,0.6,3.4,7.9,13,15.6,18.2,17.4,13.5,9.1,4.1,0.6,8.6
Ice days,"Mergentheim, Bad-Neunkirchen ",7.3,4.5,0.4,0,0,0,0,0,0,0,1.3,4.8,18.3
Frost days,"Mergentheim, Bad-Neunkirchen ",18.5,17.6,12.9,6.3,0.5,0,0,0,0,3.8,10.2,16.9,86.5
Hot days,"Mergentheim, Bad-Neunkirchen ",0,0,0,0,0.3,2.1,5.4,4.5,0.3,0,0,0,12.5
Percipitation,"Mergentheim, Bad-Neunkirchen ",63,58,67,52,68,69,76,55,58,67,59,72,764
Summer days,"Mergentheim, Bad-Neunkirchen ",0,0,0,1,4.5,10.2,15.8,15.1,5,0.3,0,0,51.8
Sunshine Duration,"Mergentheim, Bad-Neunkirchen ",51,80,118,172,208,211,232,217,158,105,52,38,1642
Temperature ,"Mergentheim, Bad-Neunkirchen ",0.4,1.1,5,8.9,13.5,16.6,18.7,18.2,13.9,9.3,4.5,1.5,9.3
Ice days,Merklingen ,11.5,9.3,2.6,0.3,0,0,0,0,0,0.1,4.3,10.1,38.1
Frost days,Merklingen ,23.6,20.9,16.1,7.3,0.5,0,0,0,0,3.3,14.2,21.8,107.6
Hot days,Merklingen ,0,0,0,0,0,0.3,1.1,0.9,0,0,0,0,2.3
Percipitation,Merklingen ,82,78,89,74,99,102,99,89,78,77,81,96,1042
Summer days,Merklingen ,0,0,0,0,0.7,4.6,7.6,7.7,1.1,0,0,0,21.7
Sunshine Duration,Merklingen ,67,89,123,166,198,207,232,214,157,111,64,47,1675
Temperature ,Merklingen ,-1.3,-0.6,2.9,6.9,11.6,14.5,16.7,16.3,12.2,8,2.6,-0.4,7.5
Ice days,Metten ,10.9,5.8,0.7,0,0,0,0,0,0,0,1.7,7.6,26.6
Frost days,Metten ,24.2,21.5,15.8,5.1,0.3,0,0,0,0,4,11.9,21.4,104
Hot days,Metten ,0,0,0,0,0.3,1.7,3.8,2,0,0,0,0,7.8
Percipitation,Metten ,82,71,80,54,84,89,104,100,81,68,76,96,984
Summer days,Metten ,0,0,0,0.6,5,9.6,14.9,13.9,3.8,0.1,0,0,47.9
Sunshine Duration,Metten ,46,77,116,173,214,211,233,216,155,108,45,38,1631
Temperature ,Metten ,-1.8,-0.5,3.9,8.8,13.7,16.3,18.1,17.4,13.3,8.6,3.3,-0.4,8.4
Ice days,Mittenwald-Buckelwiesen ,7.4,6.4,2.1,0.2,0,0,0,0,0,0,2.8,7.2,26.1
Frost days,Mittenwald-Buckelwiesen ,25.5,22.5,17.3,8.1,0.4,0,0,0,0.1,3.8,15,23.4,116.2
Hot days,Mittenwald-Buckelwiesen ,0,0,0,0,0.1,0.5,1.6,1,0,0,0,0,3.1
Percipitation,Mittenwald-Buckelwiesen ,73,72,104,95,139,181,190,188,117,82,87,85,1411
Summer days,Mittenwald-Buckelwiesen ,0,0,0,0.1,2.4,6.4,10.3,9.4,2.4,0.2,0,0,31.2
Sunshine Duration,Mittenwald-Buckelwiesen ,80,101,132,158,183,182,211,195,156,132,81,60,1671
Temperature ,Mittenwald-Buckelwiesen ,-1.2,-0.5,2.6,6.3,11.1,13.8,15.9,15.1,11.7,8.2,2.9,-0.3,7.1
Percipitation,Mittenwalde/Uckermark ,45,40,44,34,51,59,60,53,48,41,47,45,566
Ice days,Möhrendorf-Kleinseebach ,7.7,3.9,0.5,0,0,0,0,0,0,0,1,5,18.1
Frost days,Möhrendorf-Kleinseebach ,19.9,18.2,12.8,5.3,0.2,0,0,0,0,3.3,9.1,17.2,86
Hot days,Möhrendorf-Kleinseebach ,0,0,0,0,0.2,1.5,3.9,2.5,0,0,0,0,8.2
Percipitation,Möhrendorf-Kleinseebach ,51,44,55,43,65,65,77,60,58,57,55,61,691
Summer days,Möhrendorf-Kleinseebach ,0,0,0,0.6,3.8,8.4,14,12.8,3.6,0.2,0,0,43.4
Sunshine Duration,Möhrendorf-Kleinseebach ,47,74,113,171,205,210,230,210,153,110,51,33,1607
Temperature ,Möhrendorf-Kleinseebach ,0.4,1.1,4.9,9,13.9,16.8,18.8,18.2,13.9,9.4,4.4,1.4,9.4
Ice days,Mühldorf ,11.8,6.5,1,0,0,0,0,0,0,0,1.9,8.9,30.1
Frost days,Mühldorf ,25.6,22.3,16.8,7,0.4,0,0,0,0.2,4.2,14.3,23.1,113.8
Hot days,Mühldorf ,0,0,0,0,0.2,1.5,3.6,2.3,0.1,0,0,0,7.7
Percipitation,Mühldorf ,51,45,63,51,86,100,110,99,73,58,57,61,855
Summer days,Mühldorf ,0,0,0,0.5,4.1,9,14.4,13.3,3.3,0.1,0,0,44.7
Sunshine Duration,Mühldorf ,59,88,128,175,218,216,242,220,157,114,55,47,1717
Temperature ,Mühldorf ,-1.5,-0.3,4,8.5,13.6,16.4,18.2,17.6,13.3,8.7,3.1,-0.3,8.4
Percipitation,Müllheim ,55,57,65,79,103,96,94,96,90,79,66,86,966
Sunshine Duration,Müllheim ,51,74,124,163,194,217,238,222,158,104,54,37,1636
Temperature ,Müllheim ,1.5,2,6.1,9.6,14,17.1,19.4,18.8,15,10.4,5.4,2.9,10.2
Ice days,Müncheberg ,9.4,5.7,1.1,0,0,0,0,0,0,0,1.8,7.6,25.6
Hot days,Müncheberg ,0,0,0,0,0.3,1.4,4.2,2,0.1,0,0,0,8
Percipitation,Müncheberg ,45,35,42,35,55,61,62,61,43,36,43,47,563
Summer days,Müncheberg ,0,0,0,0.9,3.9,7,13,12.7,2.6,0.1,0,0,40.3
Sunshine Duration,Müncheberg ,50,73,120,184,233,224,251,216,156,116,54,39,1716
Temperature ,Müncheberg ,-0.3,0.7,3.9,8.8,13.8,16.5,18.7,18.1,13.8,9.2,4.1,0.9,9
Ice days,München-Stadt ,8.3,5.7,1,0,0,0,0,0,0,0,1.5,6.2,22.8
Frost days,München-Stadt ,20.5,17.3,9.9,1.6,0,0,0,0,0,1.4,9.1,18.3,78.1
Hot days,München-Stadt ,0,0,0,0,0.3,1.5,3.8,2.7,0.1,0,0,0,8.4
Percipitation,München-Stadt ,48,46,65,65,101,118,122,115,75,65,61,65,944
Summer days,München-Stadt ,0,0,0,0.5,4.1,9.2,14.7,13.5,4,0.4,0,0,46.3
Sunshine Duration,München-Stadt ,79,96,133,170,209,210,238,220,163,125,75,59,1777
Temperature ,München-Stadt ,0.3,1.4,5.3,9.4,14.3,17.2,19.4,18.9,14.6,10.1,4.4,1.3,9.7
Ice days,Münsingen-Apfelstetten ,11,8.9,2.1,0.3,0,0,0,0,0,0,3.9,10,36.1
Frost days,Münsingen-Apfelstetten ,25,23,17.9,8.9,1.4,0,0,0,0.3,4.2,16.4,23.4,120.5
Hot days,Münsingen-Apfelstetten ,0,0,0,0,0,0.3,1.4,0.8,0,0,0,0,2.5
Percipitation,Münsingen-Apfelstetten ,65,59,71,68,101,104,103,90,70,72,70,80,951
Summer days,Münsingen-Apfelstetten ,0,0,0,0,1.2,4.7,8.7,8,1.7,0,0,0,24.4
Sunshine Duration,Münsingen-Apfelstetten ,67,89,123,158,187,199,223,209,160,115,70,50,1650
Temperature ,Münsingen-Apfelstetten ,-1.6,-1,2.8,6.6,11.3,14.2,16.5,15.8,11.9,7.7,2.4,-0.7,7.2
Percipitation,"Nauheim, Bad ",47,42,44,41,61,64,70,50,54,56,47,57,633
Sunshine Duration,"Nauheim, Bad ",39,71,111,174,202,207,222,209,144,93,38,29,1539
Temperature ,"Nauheim, Bad ",1.2,1.5,5.5,9.3,13.7,16.7,18.9,18,14.2,9.6,4.8,2.1,9.6
Ice days,"Neuenahr, Bad-Ahrweiler ",3.7,2.4,0,0,0,0,0,0,0,0,0.5,1.9,8.6
Frost days,"Neuenahr, Bad-Ahrweiler ",15.7,14.3,7.6,2.7,0,0,0,0,0,2.1,6.3,13.5,62.2
Hot days,"Neuenahr, Bad-Ahrweiler ",0,0,0,0,0.3,2,4.8,3.6,0.4,0,0,0,11.1
Percipitation,"Neuenahr, Bad-Ahrweiler ",47,44,54,51,66,65,66,67,59,50,51,51,671
Summer days,"Neuenahr, Bad-Ahrweiler ",0,0,0,1,4.6,9.1,14.3,12.6,4,0.3,0,0,45.9
Sunshine Duration,"Neuenahr, Bad-Ahrweiler ",47,74,114,158,181,189,208,193,141,104,55,35,1499
Temperature ,"Neuenahr, Bad-Ahrweiler ",2.3,2.8,6.3,9.6,13.9,16.8,19,18.4,14.6,10.5,6.4,3.5,10.3
Ice days,Neukirchen-Hauptschwenda ,11.5,8.3,1.9,0.1,0,0,0,0,0,0,2.7,9.1,33.5
Frost days,Neukirchen-Hauptschwenda ,21.2,19.7,14.1,5.9,0.3,0,0,0,0,2.3,10.8,20.1,94.4
Hot days,Neukirchen-Hauptschwenda ,0,0,0,0,0,0.1,1.2,0.9,0,0,0,0,2.2
Percipitation,Neukirchen-Hauptschwenda ,63,53,64,53,79,71,79,69,69,65,68,67,800
Summer days,Neukirchen-Hauptschwenda ,0,0,0,0,1.1,3.9,7.6,6.1,1.1,0,0,0,19.9
Sunshine Duration,Neukirchen-Hauptschwenda ,45,71,106,160,191,188,204,191,137,94,44,35,1466
Temperature ,Neukirchen-Hauptschwenda ,-0.9,-0.2,3.2,7.3,11.7,14.4,16.6,16.3,12.5,8.2,3.3,0.1,7.7
Ice days,Neumünster ,6.3,3.8,0.6,0,0,0,0,0,0,0,0.5,4.7,15.9
Frost days,Neumünster ,14.9,14.8,10.7,3.9,0,0,0,0,0,1.9,7.7,14.5,68.4
Hot days,Neumünster ,0,0,0,0,0,0.5,1.5,1.2,0,0,0,0,3.3
Percipitation,Neumünster ,77,59,67,46,63,80,88,77,78,82,74,81,871
Summer days,Neumünster ,0,0,0,0.3,1.7,3.8,8.7,7.9,1.3,0,0,0,23.8
Sunshine Duration,Neumünster ,42,65,109,176,229,206,223,207,143,105,52,34,1591
Temperature ,Neumünster ,1.4,1.6,4.1,8,12.7,15.4,17.7,17.2,13.6,9.5,5,2.3,9
Ice days,Neuruppin ,8.1,4.9,0.6,0,0,0,0,0,0,0,1.1,6.3,20.9
Frost days,Neuruppin ,17.8,16.8,12.4,3.6,0.1,0,0,0,0,1.7,8.7,16.5,77.6
Hot days,Neuruppin ,0,0,0,0,0,0.9,2.8,1.6,0,0,0,0,5.4
Percipitation,Neuruppin ,44,34,40,31,51,59,52,52,44,39,42,46,535
Summer days,Neuruppin ,0,0,0,0.5,3.2,6.3,12.3,10.5,2,0,0,0,34.8
Sunshine Duration,Neuruppin ,49,69,116,190,237,222,235,216,155,110,48,38,1685
Temperature ,Neuruppin ,0.4,1,4.1,8.7,13.7,16.3,18.7,18.2,14.1,9.5,4.7,1.3,9.2
Ice days,Niederwörresbach ,6.3,4.1,0.3,0,0,0,0,0,0,0,1.1,4.6,16.4
Frost days,Niederwörresbach ,18.4,17.9,13.8,7.7,0.8,0,0,0,0,3.8,10.4,16.8,89.7
Hot days,Niederwörresbach ,0,0,0,0,0.1,0.9,3.8,2.5,0.1,0,0,0,7.4
Percipitation,Niederwörresbach ,68,61,61,48,63,56,58,55,59,68,64,75,735
Summer days,Niederwörresbach ,0,0,0,0.6,3.3,7.8,13.1,11.7,2.9,0.1,0,0,39.4
Sunshine Duration,Niederwörresbach ,48,79,117,168,198,205,223,207,151,102,53,38,1589
Temperature ,Niederwörresbach ,0.6,1.1,4.6,7.9,12.3,15.3,17.4,16.8,12.9,8.8,4.4,1.6,8.6
Ice days,Nienburg ,5.5,3.8,0.4,0,0,0,0,0,0,0,0.6,4.3,14.7
Frost days,Nienburg ,14.5,14.1,9.6,3.8,0.1,0,0,0,0,2.1,6.6,13.7,64.6
Hot days,Nienburg ,0,0,0,0,0.2,1.3,3.7,3,0.1,0,0,0,8.3
Percipitation,Nienburg ,71,51,61,46,55,67,72,75,59,66,65,74,762
Summer days,Nienburg ,0,0,0,0.8,3.7,6.8,12.5,10.6,2.6,0.1,0,0,37.1
Sunshine Duration,Nienburg ,41,65,97,150,176,167,177,168,117,96,46,30,1329
Temperature ,Nienburg ,1.8,2.1,5.1,9.2,13.6,16.2,18.5,17.9,14,9.8,5.6,2.4,9.7
Ice days,Norderney ,4.3,3.1,0.4,0,0,0,0,0,0,0,0.5,2.7,11
Frost days,Norderney ,11.2,10.8,5.2,0.2,0,0,0,0,0,0.1,2.9,9.4,39.8
Hot days,Norderney ,0,0,0,0,0,0.2,0.6,0.6,0,0,0,0,1.5
Percipitation,Norderney ,59,46,53,35,44,59,77,80,79,81,75,65,752
Summer days,Norderney ,0,0,0,0.1,0.7,1.4,3.3,3,0.6,0,0,0,9.1
Sunshine Duration,Norderney ,50,77,127,192,237,214,224,204,148,108,56,42,1678
Temperature ,Norderney ,2.6,2.6,4.9,8,11.8,14.7,17.3,17.6,14.9,11,6.6,3.5,9.6
Ice days,Nordhorn-Blanke ,3.8,2.9,0.3,0,0,0,0,0,0,0,0.4,2.9,10.4
Frost days,Nordhorn-Blanke ,12.6,12.7,7.7,2.8,0,0,0,0,0,1.3,5.3,11.7,54.2
Hot days,Nordhorn-Blanke ,0,0,0,0,0.3,1.2,2.9,2.5,0.1,0,0,0,7
Percipitation,Nordhorn-Blanke ,77,54,68,48,61,78,76,70,76,72,73,83,838
Summer days,Nordhorn-Blanke ,0,0,0,0.5,4.1,5.9,11,9.2,2.8,0,0,0,33.5
Temperature ,Nordhorn-Blanke ,2.5,2.7,5.7,9,13.5,16,18.2,17.6,14.3,10.4,6,3.4,9.9
Ice days,Nürnberg ,8.2,5,0.7,0,0,0,0,0,0,0,1.3,5.9,21.1
Frost days,Nürnberg ,20.9,19.1,13.5,6,0.6,0,0,0,0.1,4.2,10.7,18.7,93.8
Hot days,Nürnberg ,0,0,0,0,0.3,1.9,4.7,3,0.1,0,0,0,10
Percipitation,Nürnberg ,42,36,47,40,61,66,80,64,50,53,47,51,637
Summer days,Nürnberg ,0,0,0,0.7,4.4,9.6,14.8,13.4,4,0.2,0,0,47.1
